1384114133,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/downtown-uoft-students-young-professionals-start-october/1384114133,Downtown UofT - Students / Young Professionals - start October,"$1,050.00",< 3 km,15/09/2018

1384099645,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/for-rent/1384099645,For rent,$680.00,< 4 km,15/09/2018

1384088224,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/large-room-for-rent-only-female/1384088224,Large room for rent (only Female),$800.00,< 5 km,15/09/2018

1384070207,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/renting-out-1-bedroom-in-a-2-br-2-wr-condo-at-68-abell-st/1384070207,Renting out 1 bedroom in a 2 BR 2 WR condo at 68 Abell St,"$1,200.00",Near you,15/09/2018

1384064086,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/executive-furnished-room-for-rent-in-large-cityplace-condo-dec-1/1384064086,Executive Furnished ROOM for rent in Large CityPlace Condo-DEC 1,"$1,150.00",< 2 km,15/09/2018

1384044256,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/looking-for-a-roommate/1384044256,looking for a roommate,$800.00,< 4 km,15/09/2018

1368919539,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/beautiful-large-treatment-room-available-for-rent-sundays-only/1368919539,Beautiful Large Treatment Room Available For Rent - Sundays Only,$250.00,< 4 km,14/09/2018

1383856051,https://www.kijiji.ca/v-room-rental-roommate/cambridge/working-female-looking-for-a-place-in-downtown/1383856051,working female looking for a place in downtown,"$1,000.00",< 4 km,14/09/2018

1383714756,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/looking-for-female-roommate-downtown-nov1-2018/1383714756,Looking for Female Roommate downtown Nov1/2018,$850.00,< 2 km,13/09/2018

1383604888,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-to-share-in-a-studio/1383604888,room to share in a studio,$550.00,< 5 km,13/09/2018

1383548466,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-to-share/1383548466,room to share,$550.00,< 5 km,13/09/2018

1383481510,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/one-bedroom-available/1383481510,One bedroom available,"$1,100.00",< 4 km,12/09/2018

1383220189,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/looking-for-an-awesome-roommate-college-yonge-toronto/1383220189,Looking for an awesome roommate ( College & Yonge Toronto),"$1,100.00",< 5 km,11/09/2018

1383180292,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/looking-for-a-room-in-downtown-toronto/1383180292,Looking for a room in downtown toronto,$900.00,< 4 km,11/09/2018

1383070308,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/amazing-room-4min-walk-dufferin-subway-station/1383070308,Amazing room 4min walk Dufferin subway station,$705.00,< 3 km,10/09/2018

1383034770,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-homestay-in-corso-italia/1383034770,Room for rent - Homestay in Corso Italia,$900.00,< 5 km,10/09/2018

1349952755,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/rooms-for-rent-close-to-uoft-neighborhood/1349952755,Rooms for Rent close to UofT Neighborhood,$800.00,< 3 km,10/09/2018

1382928216,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/amazing-room-4min-walk-dufferin-subway-station/1382928216,Amazing room 4min walk Dufferin subway station,$705.00,< 3 km,10/09/2018

